tick,lps,tnfAlfa,alfasin
1,0,300,0
2,0,300,0
3,0,300,0
4,0,300,0
5,0,300,0
6,0,300,0
7,0,300,0
8,0,300,0
9,0,300,0
10,0,300,0
11,0,300,0
12,0,300,0
13,0,300,0
14,0,300,0
15,0,300,0
16,0,300,0
17,0,300,0
18,0,300,0
19,0,300,0
20,0,300,0
21,0,300,0
22,0,300,0
23,0,300,0
24,0,300,0
25,0,300,0
26,0,300,0
27,0,300,0
28,0,300,0
29,0,300,0
30,0,300,0
31,0,300,0
32,0,300,0
33,0,300,0
34,0,300,0
35,0,300,0
36,0,300,0
37,0,300,0
38,0,300,0
39,0,300,0
40,0,300,0
41,0,300,0
42,0,300,0
43,0,300,0
44,0,300,0
45,0,300,0
46,0,300,0
47,0,300,0
48,0,300,0
49,0,300,0
50,0,300,0
51,0,300,0
52,0,300,0
53,0,300,0
54,0,300,0
55,0,300,0
56,0,300,0
57,0,300,0
58,0,300,0
59,0,300,0
60,0,300,0
61,0,300,0
62,0,300,0
63,0,300,0
64,0,300,0
65,0,300,0
66,0,300,0
67,0,300,0
68,0,300,0
69,0,300,0
70,0,300,0
71,0,300,0
72,0,300,0
73,0,300,0
74,0,300,0
75,0,300,0
76,0,300,0
77,0,300,0
78,0,300,0
79,0,300,0
80,0,300,0
81,0,300,0
82,0,300,0
83,0,300,0
84,0,300,0
85,0,300,0
86,0,300,0
87,0,300,0
88,0,300,0
89,0,300,0
90,0,300,0
91,0,300,0
92,0,300,0
93,0,300,0
94,0,300,0
95,0,300,0
96,0,300,0
97,0,300,0
98,0,300,0
99,0,300,0
100,0,300,0
101,0,300,0
102,0,300,0
103,0,300,0
104,0,300,0
105,0,300,0
106,0,300,0
107,0,300,0
108,0,300,0
109,0,300,0
110,0,300,0
111,0,300,0
112,0,300,0
113,0,300,0
114,0,300,0
115,0,300,0
116,0,300,0
117,0,300,0
118,0,300,0
119,0,300,0
120,0,300,0
121,0,300,0
122,0,300,0
123,0,300,0
124,0,300,0
125,0,300,0
126,0,300,0
127,0,300,0
128,0,300,0
129,0,300,0
130,0,300,0
131,0,300,0
132,0,300,0
133,0,300,0
134,0,300,0
135,0,300,0
136,0,300,0
137,0,300,0
138,0,300,0
139,0,300,0
140,0,300,0
141,0,300,0
142,0,300,0
143,0,300,0
144,0,300,0
145,0,300,0
146,0,300,0
147,0,300,0
148,10,300,0
149,20,300,0
150,30,300,0
151,40,300,0
152,50,300,0
153,60,300,0
154,70,300,0
155,80,300,0
156,90,300,0
157,100,300,0
158,110,300,0
159,120,300,0
160,130,300,0
161,140,300,0
162,150,300,0
163,160,300,0
164,170,300,0
165,180,300,2
166,190,300,4
167,200,300,4
168,210,300,6
169,220,300,9
170,230,300,9
171,240,300,9
172,250,300,9
173,260,300,10
174,270,300,10
175,280,300,10
176,290,300,12
177,300,300,13
178,310,300,15
179,320,300,16
180,330,300,17
181,340,300,18
182,350,300,20
183,360,300,21
184,370,300,23
185,380,300,26
186,390,300,27
187,400,300,28
188,400,300,28
189,400,300,20
190,400,300,21
191,400,300,22
192,400,300,24
193,400,300,24
194,400,300,25
195,400,300,26
196,400,300,23
197,400,300,26
198,400,300,28
199,400,300,29
200,400,300,29
201,400,300,29
202,400,300,30
203,400,300,27
204,400,300,27
205,400,300,27
206,400,300,27
207,400,300,28
208,400,300,29
209,400,300,25
210,400,300,29
211,400,300,24
212,400,300,27
213,400,300,27
214,400,300,29
215,400,300,25
216,400,300,27
217,400,300,28
218,400,300,29
219,400,300,23
220,400,300,27
221,400,300,29
222,400,300,23
223,400,300,25
224,400,300,29
225,400,300,29
226,400,300,29
227,400,300,28
228,400,300,30
229,400,300,27
230,400,300,27
231,400,300,28
232,400,300,29
233,400,300,31
234,400,300,37
235,400,300,32
236,400,300,33
237,400,300,35
238,400,300,27
239,400,300,29
240,400,300,29
241,400,300,29
242,400,300,23
243,400,300,23
244,400,300,24
245,400,300,27
246,400,300,29
247,400,300,29
248,400,300,27
249,400,300,29
250,400,300,28
251,400,300,22
252,400,300,25
253,400,300,29
254,400,300,29
255,400,300,29
256,400,300,24
257,400,300,28
258,400,300,21
259,400,300,24
260,400,300,25
261,400,300,26
262,400,300,29
263,400,300,29
264,400,300,31
265,400,300,29
266,400,300,31
267,400,300,24
268,400,300,29
269,400,300,31
270,400,300,26
271,400,300,27
272,400,300,29
273,400,300,28
274,400,300,24
275,400,300,27
276,400,300,26
277,400,300,28
278,400,300,29
279,400,300,29
280,400,300,30
281,400,300,32
282,400,300,33
283,400,300,27
284,400,300,28
285,400,300,21
286,400,300,26
287,400,300,27
288,400,300,29
289,400,300,25
290,400,300,26
291,400,300,29
292,400,300,25
293,400,300,28
294,400,300,24
295,400,300,27
296,400,300,29
297,400,300,23
298,400,300,25
299,400,300,27
300,400,300,28
301,400,300,29
302,400,300,24
303,400,300,25
304,400,300,29
305,400,300,20
306,400,300,21
307,400,300,21
308,400,300,21
309,400,300,25
310,400,300,28
311,400,300,26
312,400,300,27
313,400,300,29
314,400,300,25
315,400,300,26
316,400,300,26
317,400,300,27
318,400,300,28
319,400,300,28
320,400,300,24
321,400,300,28
322,400,300,33
323,400,300,36
324,400,300,35
325,400,300,26
326,400,300,29
327,400,300,30
328,400,300,29
329,400,300,27
330,400,300,28
331,400,300,28
332,400,300,29
333,400,300,31
334,400,300,33
335,400,300,32
336,400,300,33
337,400,300,34
338,400,300,32
339,400,300,29
340,400,300,24
341,400,300,27
342,400,300,29
343,400,300,27
344,400,300,29
345,400,300,29
346,400,300,21
347,400,300,24
348,400,300,26
349,400,300,27
350,400,300,27
351,400,300,27
352,400,300,23
353,400,300,24
354,400,300,28
355,400,300,26
356,400,300,29
357,400,300,31
358,400,300,22
359,400,300,26
360,400,300,28
361,400,300,27
362,400,300,27
363,400,300,29
364,400,300,28
365,400,300,28
366,400,300,22
367,400,300,24
368,400,300,25
369,400,300,26
370,400,300,29
371,400,300,26
372,400,300,29
373,400,300,26
374,400,300,27
375,400,300,28
376,400,300,24
377,400,300,29
378,400,300,29
379,400,300,24
380,400,300,24
381,400,300,25
382,400,300,27
383,400,300,28
384,400,300,20
385,400,300,22
386,400,300,26
387,400,300,29
388,400,300,26
389,400,300,29
390,400,300,29
391,400,300,29
392,400,300,24
393,400,300,26
394,400,300,28
395,400,300,22
396,400,300,23
397,400,300,24
398,400,300,26
399,400,300,27
400,400,300,28
401,400,300,30
402,400,300,28
403,400,300,28
404,400,300,23
405,400,300,24
406,400,300,24
407,400,300,25
408,400,300,27
409,400,300,28
410,400,300,21
411,400,300,23
412,400,300,24
